id,picture_name,original_confidence,removed_bg_confidence
n02412080_2299,n02412080_2299.png,"[{348: 99.47932434082031}, {349: 0.42213600873947144}, {232: 0.03129776567220688}, {18: 0.008720050565898418}, {195: 0.00691384868696332}]","[{348: 99.20610046386719}, {349: 0.5662925243377686}, {362: 0.02983217127621174}, {626: 0.015571032650768757}, {464: 0.009793928824365139}]"
n02412080_38106,n02412080_38106.png,"[{348: 71.63935852050781}, {349: 28.3271484375}, {350: 0.020531000569462776}, {347: 0.0022427942603826523}, {346: 0.0006437385454773903}]","[{348: 59.601402282714844}, {349: 40.271522521972656}, {350: 0.06856405735015869}, {345: 0.007504111155867577}, {347: 0.0021272660233080387}]"
n02412080_12403,n02412080_12403.png,"[{348: 99.85908508300781}, {349: 0.11076263338327408}, {355: 0.014998344704508781}, {350: 0.00904185138642788}, {347: 0.000848348077852279}]","[{348: 99.0370101928711}, {349: 0.9164894819259644}, {350: 0.030541755259037018}, {763: 0.0028379932045936584}, {878: 0.0010840442264452577}]"
n02412080_254,n02412080_254.png,"[{349: 68.22425079345703}, {348: 31.76300811767578}, {350: 0.009026623331010342}, {346: 0.001473249401897192}, {347: 0.0006348742172122002}]","[{349: 77.93114471435547}, {348: 22.014175415039062}, {354: 0.020133767277002335}, {350: 0.014210090972483158}, {51: 0.012033271603286266}]"
n02412080_14393,n02412080_14393.png,"[{348: 97.2209243774414}, {349: 2.750955104827881}, {350: 0.0036177574656903744}, {850: 0.0023335355799645185}, {911: 0.002208299934864044}]","[{348: 97.37183380126953}, {349: 2.6031177043914795}, {350: 0.005955637898296118}, {911: 0.0023617821279913187}, {850: 0.0020890512969344854}]"
n02412080_16040,n02412080_16040.png,"[{348: 99.80606079101562}, {349: 0.15803726017475128}, {355: 0.025016142055392265}, {350: 0.0037180944345891476}, {362: 0.0026993481442332268}]","[{348: 99.5880126953125}, {349: 0.37667277455329895}, {355: 0.027048218995332718}, {350: 0.005338935647159815}, {362: 0.0006479409639723599}]"
n02412080_60879,n02412080_60879.png,"[{348: 99.62661743164062}, {349: 0.37334445118904114}, {350: 3.014932372025214e-05}, {222: 6.2117578636389226e-06}, {355: 3.809009285760112e-06}]","[{348: 99.51448059082031}, {349: 0.48547840118408203}, {350: 2.3316886654356495e-05}, {222: 9.241372026735917e-06}, {355: 4.944832653563935e-06}]"
n02412080_14938,n02412080_14938.png,"[{348: 99.39561462402344}, {349: 0.5989490747451782}, {362: 0.0010324025060981512}, {232: 0.000802603259216994}, {350: 0.0006853144150227308}]","[{348: 98.74409484863281}, {349: 1.133568286895752}, {350: 0.03879134729504585}, {345: 0.020919159054756165}, {169: 0.008505714125931263}]"
n02412080_14453,n02412080_14453.png,"[{348: 76.72545623779297}, {349: 23.274507522583008}, {350: 3.05995017697569e-05}, {346: 3.6031090075994143e-06}, {85: 3.125369403278455e-06}]","[{349: 45.03152847290039}, {348: 42.61223220825195}, {171: 8.273712158203125}, {172: 1.7395166158676147}, {23: 0.470158189535141}]"
n02412080_13012,n02412080_13012.png,"[{349: 51.866519927978516}, {348: 48.062747955322266}, {346: 0.016867291182279587}, {347: 0.010149162262678146}, {970: 0.008238251321017742}]","[{349: 48.53696060180664}, {348: 32.927520751953125}, {23: 2.039158582687378}, {447: 0.8725869655609131}, {54: 0.8376757502555847}]"
n02412080_10997,n02412080_10997.png,"[{348: 99.42582702636719}, {355: 0.29708200693130493}, {349: 0.20328615605831146}, {345: 0.02262686751782894}, {347: 0.011023301631212234}]","[{348: 94.76665496826172}, {349: 2.5255134105682373}, {345: 0.447794109582901}, {347: 0.21740929782390594}, {367: 0.12127949297428131}]"
n02412080_12160,n02412080_12160.png,"[{348: 50.631038665771484}, {349: 49.23749923706055}, {350: 0.08375215530395508}, {345: 0.0028464477509260178}, {346: 0.0028073035646229982}]","[{349: 55.90962600708008}, {348: 44.029685974121094}, {350: 0.03060591034591198}, {345: 0.002277896972373128}, {351: 0.001514675677753985}]"
n02412080_15403,n02412080_15403.png,"[{348: 98.24652099609375}, {349: 1.0472300052642822}, {345: 0.17056865990161896}, {350: 0.07696627080440521}, {355: 0.062013398855924606}]","[{348: 73.64315032958984}, {126: 8.454673767089844}, {349: 3.50421142578125}, {364: 2.009291410446167}, {69: 1.3975920677185059}]"
n02412080_55928,n02412080_55928.png,"[{348: 96.00216674804688}, {349: 3.9971346855163574}, {350: 0.0006441442528739572}, {345: 2.8593309252755716e-05}, {346: 1.7194026440847665e-05}]","[{348: 92.64964294433594}, {349: 7.3500590324401855}, {350: 0.0002792674058582634}, {345: 1.4769511835766025e-05}, {346: 1.1585482752707321e-05}]"
n02412080_18394,n02412080_18394.png,"[{349: 68.980224609375}, {348: 31.01127815246582}, {350: 0.001896369969472289}, {354: 0.0013180694077163935}, {345: 0.0008463389240205288}]","[{349: 84.39398956298828}, {348: 15.598490715026855}, {350: 0.0023113014176487923}, {354: 0.0010673756478354335}, {353: 0.0005972555372864008}]"
n02412080_3654,n02412080_3654.png,"[{348: 60.28664779663086}, {349: 39.710018157958984}, {350: 0.003174233017489314}, {346: 2.802084054565057e-05}, {353: 2.6554582291282713e-05}]","[{349: 62.436527252197266}, {348: 37.559844970703125}, {350: 0.003333801869302988}, {345: 4.425989027367905e-05}, {346: 4.4000807974953204e-05}]"
n02412080_5412,n02412080_5412.png,"[{348: 52.11940002441406}, {349: 46.57627487182617}, {350: 1.2763463258743286}, {353: 0.009450850076973438}, {354: 0.004491181578487158}]","[{348: 83.26602935791016}, {349: 16.151187896728516}, {350: 0.4754188060760498}, {345: 0.04865039139986038}, {353: 0.04045262560248375}]"
n02412080_17588,n02412080_17588.png,"[{349: 64.4823226928711}, {348: 35.51481246948242}, {350: 0.00249881180934608}, {355: 0.00022976257605478168}, {177: 1.3337078598851804e-05}]","[{349: 55.956626892089844}, {348: 43.90770721435547}, {355: 0.028415314853191376}, {354: 0.02517756074666977}, {350: 0.013649918138980865}]"
n02412080_4936,n02412080_4936.png,"[{348: 99.8642349243164}, {349: 0.11853296309709549}, {355: 0.014967839233577251}, {345: 0.0011235893471166492}, {350: 0.00039811438182368875}]","[{348: 99.8894271850586}, {349: 0.10558795183897018}, {345: 0.0019058521138504148}, {355: 0.0013236433733254671}, {350: 0.00077984225936234}]"
n02412080_14777,n02412080_14777.png,"[{349: 63.5307731628418}, {348: 36.46255111694336}, {350: 0.006276695989072323}, {351: 8.353518205694854e-05}, {347: 6.868959462735802e-05}]","[{348: 58.193092346191406}, {349: 41.641357421875}, {350: 0.15807068347930908}, {345: 0.0009635676397010684}, {690: 0.0007790642557665706}]"
n02412080_2260,n02412080_2260.png,"[{348: 98.76763916015625}, {349: 1.2283732891082764}, {345: 0.003118284745141864}, {346: 0.00040160934440791607}, {690: 0.00018835513037629426}]","[{348: 93.52669525146484}, {349: 6.408051490783691}, {345: 0.025045540183782578}, {690: 0.0038757615257054567}, {350: 0.003853004891425371}]"
n02412080_52698,n02412080_52698.png,"[{348: 93.80633544921875}, {349: 6.075164318084717}, {350: 0.07338117063045502}, {85: 0.008486519567668438}, {18: 0.007425915915518999}]","[{348: 79.32394409179688}, {349: 20.481712341308594}, {85: 0.061961136758327484}, {172: 0.01833725906908512}, {171: 0.016047487035393715}]"
n02412080_16465,n02412080_16465.png,"[{348: 57.084285736083984}, {349: 36.51374435424805}, {350: 4.4817914962768555}, {362: 0.24282033741474152}, {169: 0.08911728858947754}]","[{348: 27.42314338684082}, {349: 20.9306640625}, {451: 14.1633939743042}, {452: 9.022956848144531}, {126: 2.3559069633483887}]"
n02412080_9194,n02412080_9194.png,"[{348: 59.8940315246582}, {345: 38.88042068481445}, {690: 0.7315470576286316}, {912: 0.09508957713842392}, {341: 0.09201318770647049}]","[{345: 65.56407165527344}, {348: 28.053375244140625}, {173: 3.109179735183716}, {246: 0.9473369717597961}, {349: 0.612756609916687}]"
n02412080_5618,n02412080_5618.png,"[{348: 96.52607727050781}, {349: 3.010122060775757}, {355: 0.31982970237731934}, {354: 0.0316934734582901}, {343: 0.016403859481215477}]","[{348: 91.90498352050781}, {349: 7.795601844787598}, {355: 0.05007145181298256}, {350: 0.029346270486712456}, {911: 0.013451446779072285}]"
n02412080_51123,n02412080_51123.png,"[{348: 98.8836898803711}, {349: 1.1127901077270508}, {350: 0.0010485929669812322}, {355: 0.000707967032212764}, {362: 0.00022666429867967963}]","[{348: 98.78423309326172}, {349: 1.212646245956421}, {350: 0.002184581942856312}, {355: 0.000243446760578081}, {362: 0.00013671527267433703}]"
n02412080_4012,n02412080_4012.png,"[{348: 76.00428771972656}, {349: 23.992111206054688}, {350: 0.0019373578252270818}, {386: 0.00020876186317764223}, {816: 0.0002003800473175943}]","[{349: 53.42744445800781}, {348: 46.564178466796875}, {350: 0.006340340711176395}, {386: 0.00021318253129720688}, {947: 0.00012224868987686932}]"
n02412080_5334,n02412080_5334.png,"[{348: 58.294677734375}, {349: 41.43278503417969}, {350: 0.253603458404541}, {172: 0.003193553537130356}, {127: 0.0011171749792993069}]","[{348: 59.1975212097168}, {169: 16.91043472290039}, {349: 11.411539077758789}, {172: 4.920475482940674}, {701: 1.1979931592941284}]"
n02412080_16101,n02412080_16101.png,"[{348: 55.03790283203125}, {349: 44.72365951538086}, {350: 0.21912303566932678}, {346: 0.003881436074152589}, {345: 0.002029875759035349}]","[{348: 76.93171691894531}, {349: 22.790231704711914}, {350: 0.2021407037973404}, {345: 0.010484935715794563}, {112: 0.009222599677741528}]"
n02412080_9100,n02412080_9100.png,"[{349: 81.344482421875}, {348: 18.60505485534668}, {350: 0.03824186325073242}, {346: 0.0026170355267822742}, {347: 0.0012860111892223358}]","[{348: 60.52315902709961}, {349: 39.46084213256836}, {350: 0.006222772877663374}, {79: 0.0004438895848579705}, {23: 0.0004310247313696891}]"
n02412080_3843,n02412080_3843.png,"[{348: 96.00837707519531}, {349: 3.9901490211486816}, {346: 0.00038556885556317866}, {350: 0.00030321860685944557}, {345: 0.00013275739911478013}]","[{348: 88.34522247314453}, {349: 11.651937484741211}, {350: 0.0010345691116526723}, {345: 0.00019126494589727372}, {172: 0.00015978177543729544}]"
n02412080_19875,n02412080_19875.png,"[{348: 99.76605224609375}, {345: 0.13133855164051056}, {349: 0.07939669489860535}, {347: 0.008105631917715073}, {183: 0.006319635547697544}]","[{348: 99.70648956298828}, {349: 0.23441775143146515}, {345: 0.052931420505046844}, {347: 0.0019731821957975626}, {350: 0.0017103997524827719}]"
n02412080_21916,n02412080_21916.png,"[{348: 99.63819122314453}, {349: 0.3479743003845215}, {355: 0.00968006532639265}, {345: 0.00039326227852143347}, {350: 0.0003760380786843598}]","[{348: 99.41001892089844}, {349: 0.5593605637550354}, {695: 0.005472091492265463}, {507: 0.0047866045497357845}, {626: 0.0028673417400568724}]"
n02412080_21481,n02412080_21481.png,"[{348: 87.3182144165039}, {349: 3.2361037731170654}, {355: 2.314868688583374}, {354: 1.99049711227417}, {388: 1.0288968086242676}]","[{348: 47.34841537475586}, {850: 20.317201614379883}, {354: 13.011987686157227}, {355: 4.205267429351807}, {349: 2.2724649906158447}]"
n02412080_49240,n02412080_49240.png,"[{348: 68.38530731201172}, {349: 31.613313674926758}, {346: 0.00036928607732988894}, {350: 0.0001191171832033433}, {345: 0.00011522397107910365}]","[{349: 50.96186828613281}, {348: 49.033203125}, {947: 0.0011378320632502437}, {996: 0.00035196359385736287}, {117: 0.00032558516249991953}]"
n02412080_56987,n02412080_56987.png,"[{349: 50.394290924072266}, {348: 49.60551834106445}, {350: 0.00018965914205182344}, {346: 3.5436383427622786e-07}, {351: 3.2805132832436357e-07}]","[{349: 61.32870864868164}, {348: 38.67112350463867}, {350: 0.00015751483442727476}, {272: 3.0530645744875073e-06}, {270: 1.8724907704381621e-06}]"
n02412080_7384,n02412080_7384.png,"[{348: 91.64339447021484}, {345: 2.194885015487671}, {355: 1.525524377822876}, {349: 0.683318018913269}, {222: 0.6064928770065308}]","[{348: 39.192481994628906}, {270: 8.079280853271484}, {126: 7.256445407867432}, {222: 3.9641711711883545}, {452: 2.8008270263671875}]"
n02412080_13982,n02412080_13982.png,"[{348: 84.4862289428711}, {349: 14.42750358581543}, {350: 0.9864459037780762}, {104: 0.07233022153377533}, {345: 0.008302017115056515}]","[{104: 55.274192810058594}, {349: 15.50289535522461}, {348: 11.186419486999512}, {350: 10.731887817382812}, {331: 1.6732192039489746}]"
n02412080_4553,n02412080_4553.png,"[{348: 99.40096282958984}, {349: 0.5989550352096558}, {350: 4.0535123844165355e-05}, {355: 7.447445568686817e-06}, {99: 3.521824964991538e-06}]","[{348: 98.34280395507812}, {349: 1.656359076499939}, {350: 0.0006423472659662366}, {355: 2.4305660190293565e-05}, {345: 1.085510211851215e-05}]"
n02412080_16524,n02412080_16524.png,"[{348: 97.67425537109375}, {349: 2.3218560218811035}, {355: 0.0016069954726845026}, {350: 0.0011474519269540906}, {345: 8.991653157863766e-05}]","[{348: 91.49087524414062}, {349: 7.8572869300842285}, {171: 0.16296972334384918}, {172: 0.12730693817138672}, {503: 0.021874798461794853}]"
n02412080_13145,n02412080_13145.png,"[{348: 60.79695129394531}, {341: 9.787635803222656}, {349: 5.205799102783203}, {342: 5.165133476257324}, {350: 3.8506951332092285}]","[{644: 3.434701919555664}, {111: 2.724581003189087}, {818: 1.6884920597076416}, {626: 1.5937384366989136}, {530: 1.3853106498718262}]"
n02412080_9063,n02412080_9063.png,"[{349: 60.065860748291016}, {348: 39.91301345825195}, {350: 0.020756687968969345}, {351: 6.565285730175674e-05}, {353: 6.372736970661208e-05}]","[{349: 71.50446319580078}, {348: 28.482467651367188}, {350: 0.012366165407001972}, {353: 0.00013519481581170112}, {345: 0.00011540259583853185}]"
n02412080_11125,n02412080_11125.png,"[{348: 67.26634216308594}, {349: 32.72527313232422}, {350: 0.0053336117416620255}, {346: 0.0007490520365536213}, {351: 0.000350575108313933}]","[{349: 51.92351531982422}, {348: 48.073177337646484}, {350: 0.003099684137851}, {345: 3.606943937484175e-05}, {346: 1.3650887012772728e-05}]"
n02412080_2184,n02412080_2184.png,"[{348: 91.30982208251953}, {345: 4.9126715660095215}, {346: 1.4489789009094238}, {350: 0.801362931728363}, {349: 0.23684200644493103}]","[{20: 38.58192443847656}, {13: 12.777149200439453}, {85: 10.341508865356445}, {137: 5.032448768615723}, {21: 4.883617877960205}]"
n02412080_60672,n02412080_60672.png,"[{349: 55.916873931884766}, {348: 44.08253860473633}, {350: 0.0005855710478499532}, {346: 1.6832933624755242e-06}, {345: 1.1152510523970705e-06}]","[{349: 69.49003601074219}, {348: 30.509510040283203}, {350: 0.00045170760131441057}, {345: 2.760865811524127e-07}, {351: 2.1781589509828336e-07}]"
n02412080_1976,n02412080_1976.png,"[{349: 21.000974655151367}, {348: 16.54258155822754}, {173: 7.300727844238281}, {975: 7.133983612060547}, {218: 5.307506084442139}]","[{644: 3.434701919555664}, {111: 2.724581003189087}, {818: 1.6884920597076416}, {626: 1.5937384366989136}, {530: 1.3853106498718262}]"
n02412080_12590,n02412080_12590.png,"[{348: 99.61658477783203}, {355: 0.28280600905418396}, {349: 0.0623844638466835}, {99: 0.0035416455939412117}, {958: 0.0022193677723407745}]","[{348: 98.50678253173828}, {349: 0.22701187431812286}, {126: 0.1356174349784851}, {826: 0.13445287942886353}, {89: 0.08867499232292175}]"
n02412080_11448,n02412080_11448.png,"[{348: 70.63692474365234}, {349: 29.35086441040039}, {350: 0.011449352838099003}, {345: 0.0002686010266188532}, {346: 0.00022234980133362114}]","[{348: 53.54338836669922}, {349: 46.44447326660156}, {350: 0.011075565591454506}, {345: 0.0006005762261338532}, {346: 0.00010426859807921574}]"
n02412080_9241,n02412080_9241.png,"[{348: 67.8167495727539}, {349: 32.17661666870117}, {350: 0.005173277109861374}, {347: 0.00019318067643325776}, {346: 0.00011298149911453947}]","[{348: 54.8045654296875}, {349: 45.19352722167969}, {350: 0.001705113216303289}, {351: 1.5827557945158333e-05}, {346: 1.312935637542978e-05}]"
n02412080_3492,n02412080_3492.png,"[{348: 91.37397766113281}, {355: 1.1937603950500488}, {349: 0.9245643615722656}, {99: 0.9102871417999268}, {257: 0.6020901799201965}]","[{348: 67.3492202758789}, {89: 16.379161834716797}, {296: 6.050381660461426}, {222: 2.0989904403686523}, {349: 1.6590168476104736}]"
n02412080_4897,n02412080_4897.png,"[{348: 95.97950744628906}, {349: 2.5687015056610107}, {341: 0.34058740735054016}, {172: 0.2115146517753601}, {169: 0.13986027240753174}]","[{348: 94.34573364257812}, {349: 1.376688003540039}, {341: 1.0452595949172974}, {222: 0.4976532757282257}, {342: 0.3640981912612915}]"
n02412080_11546,n02412080_11546.png,"[{349: 75.35551452636719}, {348: 24.61971664428711}, {350: 0.022055767476558685}, {355: 0.0018389546312391758}, {353: 0.00013742818555328995}]","[{349: 70.80806732177734}, {348: 28.710174560546875}, {350: 0.1417277306318283}, {270: 0.13054117560386658}, {272: 0.04587135091423988}]"
n02412080_38827,n02412080_38827.png,"[{349: 81.67416381835938}, {348: 18.019248962402344}, {350: 0.1541925072669983}, {227: 0.02106165885925293}, {273: 0.010176034644246101}]","[{349: 55.60726547241211}, {348: 38.12042999267578}, {117: 2.1090893745422363}, {350: 0.7281398177146912}, {38: 0.3694950342178345}]"
n02412080_18042,n02412080_18042.png,"[{348: 95.06748962402344}, {355: 3.1796417236328125}, {349: 1.2401657104492188}, {350: 0.14141453802585602}, {232: 0.02806377038359642}]","[{348: 94.15176391601562}, {349: 3.0855424404144287}, {350: 1.6959378719329834}, {103: 0.35743921995162964}, {355: 0.3291725516319275}]"
n02412080_11135,n02412080_11135.png,"[{348: 98.65217590332031}, {349: 1.2731876373291016}, {355: 0.0532410629093647}, {362: 0.010811183601617813}, {345: 0.005809303838759661}]","[{348: 94.9992446899414}, {349: 4.994318008422852}, {362: 0.0024418444372713566}, {355: 0.001952600316144526}, {345: 0.0010057279141619802}]"
n02412080_8827,n02412080_8827.png,"[{348: 83.70175170898438}, {349: 10.614288330078125}, {350: 2.298874855041504}, {270: 1.150803565979004}, {355: 0.4238320589065552}]","[{257: 25.113258361816406}, {222: 21.510889053344727}, {296: 9.8045072555542}, {270: 8.221177101135254}, {348: 4.4057488441467285}]"
n02412080_19365,n02412080_19365.png,"[{348: 99.4894027709961}, {349: 0.4617989659309387}, {350: 0.03825521841645241}, {347: 0.005711642559617758}, {345: 0.0025594301987439394}]","[{348: 98.84029388427734}, {349: 1.1022509336471558}, {350: 0.05080726742744446}, {347: 0.0024670909624546766}, {345: 0.00123193662147969}]"
n02412080_12631,n02412080_12631.png,"[{348: 82.8447265625}, {171: 5.906611442565918}, {349: 1.8631213903427124}, {172: 1.729676365852356}, {195: 1.1595295667648315}]","[{348: 47.16339874267578}, {171: 16.135650634765625}, {172: 7.271546840667725}, {151: 6.849801540374756}, {384: 3.8022665977478027}]"
n02412080_13685,n02412080_13685.png,"[{348: 77.98892974853516}, {349: 22.01008415222168}, {350: 0.000790704507380724}, {346: 4.585746501106769e-05}, {345: 3.425082832109183e-05}]","[{349: 50.268775939941406}, {348: 49.72113800048828}, {350: 0.009577027522027493}, {353: 9.567962842993438e-05}, {117: 3.23607018799521e-05}]"
n02412080_60340,n02412080_60340.png,"[{348: 82.25699615478516}, {349: 3.806670665740967}, {155: 3.4100656509399414}, {203: 2.9833033084869385}, {112: 1.1555620431900024}]","[{107: 51.176822662353516}, {971: 7.329249382019043}, {677: 5.661303997039795}, {947: 4.19731330871582}, {679: 2.9923818111419678}]"
n02412080_1627,n02412080_1627.png,"[{348: 99.48209381103516}, {349: 0.38382524251937866}, {911: 0.02248539589345455}, {996: 0.019391389563679695}, {109: 0.0105782151222229}]","[{348: 99.53178405761719}, {349: 0.378644198179245}, {911: 0.014651515521109104}, {109: 0.014627166092395782}, {996: 0.011761152185499668}]"
n02412080_5409,n02412080_5409.png,"[{355: 45.770751953125}, {348: 39.43390655517578}, {271: 6.084554195404053}, {104: 1.641402244567871}, {347: 0.9804180860519409}]","[{348: 51.4580078125}, {349: 26.694992065429688}, {350: 20.466548919677734}, {355: 0.5021011233329773}, {104: 0.2392909675836563}]"
n02412080_15141,n02412080_15141.png,"[{348: 61.94403839111328}, {349: 38.039146423339844}, {350: 0.01449580304324627}, {127: 0.0007840774487704039}, {151: 0.00039306655526161194}]","[{279: 6.40170955657959}, {107: 4.988674163818359}, {296: 4.123210906982422}, {971: 3.3709521293640137}, {110: 3.3275418281555176}]"
n02412080_34673,n02412080_34673.png,"[{976: 16.28990364074707}, {649: 15.726126670837402}, {972: 8.799786567687988}, {980: 6.925817012786865}, {346: 4.768333435058594}]","[{971: 5.862308025360107}, {818: 4.699723243713379}, {845: 4.298308372497559}, {677: 4.203097343444824}, {711: 3.7095720767974854}]"
n02412080_5843,n02412080_5843.png,"[{349: 60.12358093261719}, {348: 39.706153869628906}, {350: 0.14362673461437225}, {351: 0.01642659679055214}, {346: 0.0050658006221055984}]","[{349: 63.00934600830078}, {348: 36.941162109375}, {350: 0.048581287264823914}, {351: 0.0006104683270677924}, {345: 7.223579450510442e-05}]"
n02412080_43205,n02412080_43205.png,"[{348: 92.9716567993164}, {209: 2.0388941764831543}, {349: 1.6129674911499023}, {355: 1.2492663860321045}, {210: 0.2506474256515503}]","[{562: 12.286383628845215}, {818: 7.465847015380859}, {517: 2.410093307495117}, {619: 2.3623781204223633}, {812: 2.079448938369751}]"
n02412080_14574,n02412080_14574.png,"[{348: 89.01637268066406}, {355: 7.847718238830566}, {349: 2.5195326805114746}, {347: 0.12954986095428467}, {227: 0.05799239128828049}]","[{348: 91.71419525146484}, {349: 6.903003692626953}, {355: 0.49707460403442383}, {350: 0.17418085038661957}, {270: 0.05529478192329407}]"
n02412080_39941,n02412080_39941.png,"[{349: 60.762428283691406}, {348: 38.94926834106445}, {350: 0.2212350070476532}, {355: 0.015330865979194641}, {354: 0.009797691367566586}]","[{349: 90.47787475585938}, {348: 9.468512535095215}, {350: 0.05154941603541374}, {353: 0.000489470490720123}, {354: 0.0003451154043432325}]"
n02412080_19641,n02412080_19641.png,"[{348: 99.64048767089844}, {349: 0.3468042314052582}, {345: 0.0031616324558854103}, {350: 0.002913540694862604}, {232: 0.00087115284986794}]","[{348: 99.472412109375}, {349: 0.5131585597991943}, {350: 0.008504107594490051}, {270: 0.0009168009273707867}, {345: 0.0007575038471259177}]"
n02412080_15167,n02412080_15167.png,"[{348: 61.01024627685547}, {349: 38.954837799072266}, {350: 0.018887976184487343}, {958: 0.0007413052371703088}, {345: 0.000653348455671221}]","[{348: 61.768798828125}, {349: 38.15498733520508}, {350: 0.030687229707837105}, {345: 0.0011379588395357132}, {286: 0.0010900655761361122}]"
n02412080_16804,n02412080_16804.png,"[{348: 93.28288269042969}, {349: 6.716732025146484}, {350: 0.00017950845358427614}, {346: 0.00014409638242796063}, {345: 3.5598866816144437e-05}]","[{348: 84.39688110351562}, {349: 15.601762771606445}, {350: 0.0005277627496980131}, {345: 0.0003397060791030526}, {346: 0.00017093114729505032}]"
n02412080_12492,n02412080_12492.png,"[{348: 97.53656005859375}, {349: 2.019900321960449}, {355: 0.28593167662620544}, {350: 0.04487968981266022}, {345: 0.015632621943950653}]","[{296: 33.86410140991211}, {348: 26.31307029724121}, {222: 8.9490966796875}, {228: 5.314702033996582}, {257: 2.655181407928467}]"
n02412080_15223,n02412080_15223.png,"[{348: 69.45008850097656}, {349: 8.967428207397461}, {346: 2.5300028324127197}, {345: 2.1148600578308105}, {690: 1.3975733518600464}]","[{348: 53.60585021972656}, {345: 17.38848114013672}, {349: 4.813382148742676}, {690: 1.7869919538497925}, {350: 1.5975944995880127}]"
n02412080_9005,n02412080_9005.png,"[{348: 66.61795043945312}, {349: 33.3610954284668}, {350: 0.019595718011260033}, {825: 0.00017621157167013735}, {345: 0.00017516707885079086}]","[{348: 57.642356872558594}, {349: 42.34421157836914}, {350: 0.009776860475540161}, {345: 0.0006994865252636373}, {346: 0.0005674963467754424}]"
n02412080_12721,n02412080_12721.png,"[{348: 98.85075378417969}, {349: 1.124342441558838}, {350: 0.021809563040733337}, {355: 0.0017605761531740427}, {272: 0.00017590599600225687}]","[{348: 98.62030792236328}, {349: 1.377034306526184}, {350: 0.001372130704112351}, {355: 0.0007895753951743245}, {272: 4.244766023475677e-05}]"
